   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
              0.3349,             0.28797,              0.2345,            0.091586,            0.060703,            0.026931,            0.031981,              0.0095,             0.01002,             0.96663,             0.00036,              3.8648,             0.82129,             0.10049,             0.05072,             0.60364,             0.77776,             0.97106,             0.99189,                 0.2,              4.8487,                   0,             0.01359,             0.75938,             0.50972,                   0,             0.10282,              0.4347,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.6986
             0.45426,             0.23711,             0.23144,            0.093505,            0.070528,            0.026471,            0.029036,             0.00831,             0.01068,             0.93638,             0.00038,              3.6393,             0.70968,             0.10374,             0.05758,             0.56779,             0.75239,              1.0894,             0.86706,                 0.2,              4.4969,                   0,             0.01301,             0.64077,             0.58017,                   0,             0.10058,             0.43345,                   0,                   0,                   0,                 0.5,             0.96214,                   0,                   0,               2.806
             0.42045,              0.2879,             0.26617,            0.097273,            0.070516,            0.024777,            0.030557,             0.01039,             0.01067,             0.95417,             0.00041,              2.9533,             0.75964,             0.10279,             0.05758,             0.56952,             0.83714,              1.0032,             0.81877,                 0.2,              5.0624,                   0,             0.01359,             0.70566,              0.5024,                   0,             0.11479,             0.48077,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.31668,             0.29847,             0.24119,            0.095616,             0.06118,            0.028666,            0.033131,             0.01004,              0.0107,              0.9243,             0.00047,              3.2886,             0.72277,             0.10049,             0.04951,             0.58145,             0.77558,             0.92005,             0.93972,                 0.2,              5.6843,                   0,             0.01375,             0.70566,             0.54262,                   0,             0.11635,             0.39023,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.4526
             0.41243,             0.27925,             0.25318,            0.097125,            0.080694,            0.039943,            0.026384,             0.00892,                0.01,             0.90866,             0.00044,              3.0688,             0.71312,             0.11034,              0.0656,              0.5635,             0.65992,              1.1972,              1.0926,                 0.2,              4.9306,                   0,             0.01359,             0.80507,             0.54803,                   0,             0.10058,             0.34214,                   0,                   0,                   0,                 0.5,             0.82824,                   0,                   0,              2.3805
             0.36898,             0.34557,             0.26919,            0.096507,            0.069302,            0.025027,            0.030561,             0.01101,             0.01011,             0.93975,             0.00041,              2.9725,              0.7197,             0.09519,             0.05758,               0.552,             0.75524,              1.0032,             0.82297,                 0.2,              5.0624,                   0,             0.01303,             0.72068,             0.54138,                   0,             0.10496,             0.42633,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.2469
             0.38737,             0.31266,             0.25489,            0.097524,            0.072161,            0.026152,            0.029957,             0.01005,             0.01064,              0.9297,             0.00041,               3.408,             0.68011,              0.0965,              0.0602,             0.59487,             0.72739,              1.0032,             0.92798,                 0.2,              4.8175,                   0,             0.01225,             0.73734,             0.54709,                   0,             0.10058,             0.45034,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.45978,             0.26518,             0.25703,             0.10675,            0.069884,            0.031289,            0.024548,             0.01004,             0.01144,             0.85742,             0.00041,              2.8475,             0.77462,             0.10049,             0.05801,             0.50141,             0.75976,              1.0032,              1.0192,                 0.2,              5.1053,                   0,             0.01736,             0.70566,             0.54803,                   0,             0.06811,             0.33652,                   0,                   0,                   0,                 0.5,              0.9005,                   0,                   0,              3.3283
             0.35455,             0.29082,             0.24996,            0.094277,            0.070646,            0.023768,            0.030075,             0.00965,                0.01,             0.92752,             0.00041,              3.4724,             0.78815,              0.0969,             0.05893,             0.56779,             0.71331,             0.91297,             0.86706,                 0.2,              4.9122,                   0,             0.01359,             0.67732,             0.54803,                   0,             0.09192,             0.42275,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               2.694
             0.39176,             0.25786,             0.24639,             0.10211,            0.086275,             0.02843,            0.030366,             0.01048,              0.0102,              0.8624,             0.00041,              4.4079,             0.54145,              0.1155,             0.07008,             0.56779,             0.89261,              1.0606,             0.86706,                 0.2,              4.7237,                   0,             0.01769,              0.5444,             0.60767,                   0,             0.10058,             0.34943,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.2877
             0.38892,             0.27798,             0.25868,               0.105,            0.059634,            0.015493,            0.038853,             0.00937,                0.01,              0.9382,             0.00041,              2.9781,             0.72277,             0.10022,              0.0519,             0.67754,             0.75201,             0.91695,             0.62434,                 0.2,              3.7136,                   0,             0.01326,             0.65292,             0.55224,                   0,             0.08524,             0.36402,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6445
              0.3836,             0.26725,             0.23827,            0.094497,            0.068898,            0.023267,            0.034457,             0.01029,                0.01,             0.92798,             0.00038,              3.1182,             0.72277,              0.0915,             0.05581,             0.60493,             0.85676,              1.0277,             0.74098,                 0.2,               5.071,                   0,             0.01359,             0.66327,             0.57307,                   0,             0.08587,             0.42275,                   0,                   0,                   0,                 0.5,             0.98599,                   0,                   0,               2.614
